City/Town,Ward,Pct,"Ernest W. Shand",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cavendish,,,43,1,7,51
Weathersfield,,,139,4,10,153
TOTALS,,,182,5,17,204
