City/Town,Ward,Pct,"Alan Parent","Dorothy R. Bolduc","Claude Bouchard",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
"St. Albans City",,,135,117,82,8,87,429
TOTALS,,,135,117,82,8,87,429
