City/Town,Ward,Pct,"David Bolduc","Kevin Goodridge",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Albany,,,43,49,5,9,106
Barton,-,"Barton Memorial",55,47,13,21,136
Barton,-,"Orleans Memorial",34,30,6,10,80
Craftsbury,,,30,29,8,21,88
Glover,,,57,53,13,15,138
Greensboro,,,19,19,0,14,52
Sheffield,,,30,29,0,7,66
Wheelock,,,18,19,1,6,44
TOTALS,,,286,275,46,103,710
