City/Town,Ward,Pct,"Jeb Spaulding","Ed Flanagan",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,17,10,0,0,27
Albany,,,21,16,0,0,37
Alburgh,,,73,100,19,0,192
Andover,,,11,8,0,0,19
Arlington,,,43,40,1,0,84
Athens,,,5,20,0,0,25
Bakersfield,,,28,21,0,0,49
Baltimore,,,3,6,0,0,9
Barnard,,,29,12,0,0,41
Barnet,,,23,10,0,0,33
"Barre City",-,"Washington 3-1",149,28,2,0,179
"Barre City",-,"Washington 3-2",109,20,2,0,131
"Barre City",-,"Washington 3-3",26,0,0,0,26
"Barre Town",,,343,59,2,0,404
Barton,-,"Barton Memorial",21,9,0,0,30
Barton,-,"Orleans Memorial",16,8,0,0,24
Belvidere,,,5,3,0,0,8
Bennington,-,"Bennington 2-1",175,96,1,0,272
Bennington,-,"Bennington 2-1 Nb",42,21,1,0,64
Bennington,-,"Bennington 2-2",129,89,5,0,223
Bennington,-,"Bennington 5",1,2,0,0,3
Benson,,,19,10,0,0,29
Berkshire,,,22,13,0,0,35
Berlin,,,113,17,1,0,131
Bethel,,,58,27,0,0,85
Bloomfield,,,3,4,0,0,7
Bolton,,,24,14,0,0,38
Bradford,,,80,77,0,0,157
Braintree,,,58,12,0,0,70
Brandon,,,157,133,0,0,290
Brattleboro,-,"Windham 3-1",235,148,0,0,383
Brattleboro,-,"Windham 3-2",176,185,0,0,361
Brattleboro,-,"Windham 3-3",236,158,2,0,396
Bridgewater,,,27,18,0,0,45
Bridport,,,15,9,0,0,24
Brighton,,,8,14,0,0,22
Bristol,,,103,42,0,0,145
Brookfield,,,97,16,0,0,113
Brookline,,,17,21,0,0,38
Brownington,,,14,8,0,0,22
Brunswick,,,3,2,0,0,5
Burke,,,26,9,0,0,35
Burlington,-,"Chittenden 3-1 Ward 4",238,84,1,0,323
Burlington,-,"Chittenden 3-1 Ward 7",73,54,0,0,127
Burlington,-,"Chittenden 3-2 Ward 2",7,10,0,0,17
Burlington,-,"Chittenden 3-2 Ward 3",9,5,0,0,14
Burlington,-,"Chittenden 3-2 Ward 4",51,18,1,0,70
Burlington,-,"Chittenden 3-2 Ward 7",86,39,0,0,125
Burlington,-,"Chittenden 3-3 Ward 2",28,21,1,0,50
Burlington,-,"Chittenden 3-3 Ward 3",74,72,0,0,146
Burlington,-,"Chittenden 3-3 Ward 5",8,2,0,0,10
Burlington,-,"Chittenden 3-3 Ward 6",9,2,0,0,11
Burlington,-,"Chittenden 3-3 Ward 7",13,9,0,0,22
Burlington,-,"Chittenden 3-4 Ward 1",112,39,1,0,152
Burlington,-,"Chittenden 3-4 Ward 2",35,21,0,0,56
Burlington,-,"Chittenden 3-4 Ward 6",21,8,0,0,29
Burlington,-,"Chittenden 3-5 Ward 5",319,128,0,0,447
Burlington,-,"Chittenden 3-5 Ward 6",259,69,0,0,328
Burlington,-,"Chittenden 3-6 Ward 1",38,19,2,0,59
Cabot,,,41,12,0,0,53
Calais,,,153,26,0,0,179
Cambridge,,,65,24,0,0,89
Canaan,,,10,12,0,0,22
Castleton,,,37,21,0,0,58
Cavendish,,,25,19,0,0,44
Charleston,,,15,9,0,0,24
Charlotte,,,144,33,0,0,177
Chelsea,,,36,13,0,0,49
Chester,,,63,33,0,0,96
Chittenden,,,19,16,0,0,35
Clarendon,,,31,10,0,0,41
Colchester,-,"Chittenden 7-1",104,48,0,0,152
Colchester,-,"Chittenden 7-2",155,42,1,0,198
Concord,,,16,8,0,0,24
Corinth,,,58,22,0,0,80
Cornwall,,,75,14,0,0,89
Coventry,,,5,4,0,0,9
Craftsbury,,,62,18,0,0,80
Danby,,,9,16,0,0,25
Danville,,,43,10,0,0,53
Derby,,,78,60,0,0,138
Dorset,,,24,8,0,0,32
Dover,,,11,20,0,0,31
Dummerston,,,131,101,1,0,233
Duxbury,,,60,13,0,0,73
"E. Haven",,,3,7,0,0,10
"E. Montpelier",,,197,20,0,0,217
Eden,,,10,10,0,0,20
Elmore,,,27,25,0,0,52
Enosburgh,,,43,19,0,0,62
Essex,-,"Chittenden 6-1",98,31,0,0,129
Essex,-,"Chittenden 6-2",156,62,1,0,219
Essex,-,"Chittenden 6-3",41,7,0,0,48
"Fair Haven",,,15,14,0,0,29
Fairfax,,,77,54,0,0,131
Fairfield,,,81,33,1,0,115
Fairlee,,,25,25,0,0,50
Fayston,,,51,12,0,0,63
Ferrisburgh,,,80,24,0,0,104
Fletcher,,,24,8,0,0,32
Franklin,,,45,17,0,0,62
Georgia,,,49,35,0,0,84
Glover,,,29,16,0,0,45
Goshen,,,8,2,0,0,10
Grafton,,,26,27,1,0,54
Granby,,,1,1,0,0,2
"Grand Isle",,,133,140,32,0,305
Granville,,,9,3,0,0,12
Greensboro,,,47,7,0,0,54
Groton,,,19,12,0,0,31
Guildhall,,,3,4,0,0,7
Guilford,,,93,75,0,0,168
Halifax,,,23,20,0,0,43
Hancock,,,3,4,0,0,7
Hardwick,,,162,74,1,0,237
Hartford,-,"Windsor 6-1",80,78,1,0,159
Hartford,-,"Windsor 6-2",281,325,1,0,607
Hartland,,,129,89,2,0,220
Highgate,,,61,28,0,0,89
Hinesburg,-,"Chittenden 1-1",145,49,0,0,194
Hinesburg,-,"Chittenden 1-2",5,1,0,0,6
Holland,,,8,6,0,0,14
Hubbardton,,,9,1,0,0,10
Huntington,,,51,12,0,0,63
"Hyde Park",,,111,39,0,0,150
Ira,-,"Rutland 1-1",5,9,0,0,14
Ira,-,"Rutland 1-2",0,0,0,0,0
Irasburg,,,10,13,1,0,24
"Isle La Motte",,,55,68,12,0,135
Jamaica,,,37,34,0,0,71
Jay,,,7,3,0,0,10
Jericho,,,161,44,0,0,205
Johnson,,,81,38,0,0,119
Killington,,,22,15,0,0,37
Kirby,,,26,13,0,0,39
Landgrove,,,4,0,0,0,4
Leicester,,,31,13,0,0,44
Lemington,,,0,2,0,0,2
Lincoln,,,80,31,0,0,111
Londonderry,,,24,21,0,0,45
Lowell,,,6,18,0,0,24
Ludlow,,,30,22,0,0,52
Lunenburg,,,18,8,0,0,26
Lyndon,,,53,24,0,0,77
Manchester,,,51,28,0,0,79
Marlboro,,,58,55,0,0,113
Marshfield,,,70,21,0,0,91
Mendon,,,18,8,0,0,26
Middlebury,,,199,54,0,0,253
Middlesex,,,146,14,0,0,160
"Middletown Springs",,,23,13,0,0,36
Milton,-,"Chittenden 9",90,54,1,0,145
Milton,-,"Grand Isle-Chittenden 1-1",9,4,2,0,15
Monkton,,,65,20,0,0,85
Montgomery,,,26,11,2,0,39
