City/Town,Ward,Pct,"Chris Goodrich",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridport,,,23,0,4,27
"New Haven",,,124,7,57,188
Weybridge,,,44,0,16,60
TOTALS,,,191,7,77,275
