City/Town,Ward,Pct,"Shap Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,
Elmore,,,25,47,34,106
Morristown,,,146,145,209,500
Woodbury,,,35,18,55,108
Worcester,,,67,12,103,182
TOTALS,,,273,222,401,896
