City/Town,Ward,Pct,"Linda J. Martin",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Hyde Park",,,107,19,33,159
Wolcott,,,68,1,3,72
TOTALS,,,175,20,36,231
