City/Town,Ward,Pct,"Kenneth W. Atkins","George C. Cross",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burlington,,,40,37,0,16,93
Winooski,,,159,152,0,75,386
TOTALS,,,199,189,0,91,479
