City/Town,Ward,Pct,"Peter Sprague",Write-Ins,Blanks,"Total Votes Cast"
,,,
Brighton,,,16,3,3,22
Canaan,,,11,5,9,25
"E. Haven",,,8,0,2,10
Lemington,,,1,0,1,2
Newark,,,18,0,6,24
Norton,,,5,3,1,9
Westmore,,,7,0,4,11
TOTALS,,,66,11,26,103
