City/Town,Ward,Pct,"William Meub","Greg Parke","Karen Kerin",Write-Ins,Blanks,"Total Votes Cast"
Williamstown,,,55,21,15,1,0,92
Williston,,,130,52,16,0,0,198
Wilmington,,,62,22,22,1,0,107
Windham,,,11,1,4,1,0,17
Windsor,,,40,16,38,0,0,94
Winhall,,,38,2,5,0,0,45
Winooski,,,33,41,3,0,0,77
Wolcott,,,46,19,23,6,0,94
Woodbury,,,21,17,15,1,0,54
Woodford,,,8,3,1,0,0,12
Woodstock,,,83,9,20,0,0,112
Worcester,,,33,10,8,1,0,52
TOTALS,,,"14,105","5,467","4,643",252,0,"24,467"
