City/Town,Ward,Pct,"Robert E. Kinsey","John S. Rodgers",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Albany,,,29,24,1,22,76
Barton,-,"Barton Memorial",22,20,5,19,66
Barton,-,"Orleans Memorial",13,12,9,14,48
Craftsbury,,,68,52,5,49,174
Glover,,,33,39,3,17,92
Greensboro,,,47,25,3,37,112
Sheffield,,,9,11,0,6,26
Wheelock,,,12,15,5,8,40
TOTALS,,,233,198,31,172,634
