City/Town,Ward,Pct,"John S. Winters","Kathy Labelle Lavoie",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Sheldon,,,35,29,0,30,94
Swanton,,,190,157,1,92,440
TOTALS,,,225,186,1,122,534
