City/Town,Ward,Pct,"Marc Maheux","Eileen Haupt",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bolton,,,27,25,2,16,70
Jericho,,,115,109,0,64,288
Underhill,,,83,79,3,55,220
TOTALS,,,225,213,5,135,578
