City/Town,Ward,Pct,"Carolyn Whitney Branagan","Brian C. Dunsmore","Mark J. Allard","Colleen Steen",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,
Fairfax,,,87,82,147,87,1,86,490
Georgia,,,178,151,46,80,2,73,530
TOTALS,,,265,233,193,167,3,159,"1,020"
