City/Town,Ward,Pct,"Willem Jewett",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cornwall,,,72,0,19,91
Goshen,,,7,0,4,11
Hancock,,,4,2,1,7
Leicester,,,39,2,5,46
Ripton,,,41,0,7,48
Salisbury,,,37,1,10,48
TOTALS,,,200,5,46,251
