City/Town,Ward,Pct,"Leigh B. Larocque",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnet,,,60,1,4,65
Ryegate,,,44,1,4,49
Waterford,,,53,0,4,57
TOTALS,,,157,2,12,171
