City/Town,Ward,Pct,"Erron J. Carey",Write-Ins,Blanks,"Total Votes Cast"
,,,
Andover,,,31,0,5,36
Baltimore,,,9,0,0,9
Chester,,,97,5,16,118
Springfield,,,7,0,2,9
TOTALS,,,144,5,23,172
