City/Town,Ward,Pct,"Harvey Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridport,,,95,3,9,107
"New Haven",,,189,0,16,205
Weybridge,,,38,0,4,42
TOTALS,,,322,3,29,354
