City/Town,Ward,Pct,"Kurt Wright","Gene Shaver",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burlington,-,"Hunt Ward 7",53,36,4,5,98
Burlington,-,"St. Marks Ward 4",143,108,0,12,263
TOTALS,,,196,144,4,17,361
