City/Town,Ward,Pct,"Susan A. Davis",Write-Ins,Blanks,"Total Votes Cast"
,,,
Irasburg,,,2,1,1,4
"Newport City",,,8,2,0,10
"Newport Town",,,4,0,6,10
TOTALS,,,14,3,7,24
