City/Town,Ward,Pct,"Carroll F. Ketchum",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bethel,,,97,0,1,98
Pittsfield,,,30,0,5,35
Rochester,,,54,1,6,61
Stockbridge,,,24,0,1,25
TOTALS,,,205,1,13,219
