City/Town,Ward,Pct,"Mark S. Young",Write-Ins,Blanks,"Total Votes Cast"
,,,
Benson,,,29,0,1,30
Orwell,,,68,0,7,75
Shoreham,,,105,0,7,112
Whiting,,,24,0,3,27
TOTALS,,,226,0,18,244
