City/Town,Ward,Pct,"Cindy Hill","Boots Wardinski",Write-Ins,Blanks,"Total Votes Cast"
"N. Hero",,,1,0,0,0,1
Northfield,,,5,2,0,0,7
Norwich,,,9,3,0,0,12
Orwell,,,1,2,0,0,3
Panton,,,2,0,0,0,2
Peru,,,3,0,0,0,3
Pittsfield,,,0,1,0,0,1
Pittsford,,,4,0,0,0,4
Plainfield,,,2,4,0,0,6
Plymouth,,,2,0,0,0,2
Pownal,,,2,0,0,0,2
Proctor,,,1,0,0,0,1
Putney,,,15,1,0,0,16
Randolph,,,3,1,1,0,5
Reading,,,3,0,0,0,3
Richford,,,1,0,0,0,1
Richmond,,,4,1,6,0,11
Ripton,,,1,0,0,0,1
Rochester,,,10,2,0,0,12
Rockingham,,,5,2,0,0,7
Roxbury,,,4,2,0,0,6
Royalton,,,3,0,2,0,5
Rupert,,,2,3,0,0,5
"Rutland City",-,"Rutland 5-1",2,2,0,0,4
"Rutland City",-,"Rutland 5-2",2,1,0,0,3
"Rutland City",-,"Rutland 5-3",2,0,0,0,2
"Rutland City",-,"Rutland 5-4",7,1,0,0,8
"Rutland Town",,,4,0,0,0,4
Ryegate,,,3,0,0,0,3
Salisbury,,,2,0,0,0,2
Searsburg,,,1,0,0,0,1
Shaftsbury,,,6,0,1,0,7
Sharon,,,0,1,0,0,1
Sheffield,,,1,0,0,0,1
Shelburne,-,"Chittenden 5-1",6,2,1,0,9
Shelburne,-,"Chittenden 5-2",3,0,0,0,3
Shrewsbury,,,2,0,1,0,3
"S. Burlington",-,"Chittenden 3-10",4,4,0,0,8
"S. Burlington",-,"Chittenden 3-7",9,4,0,0,13
"S. Burlington",-,"Chittenden 3-8",7,1,1,0,9
"S. Burlington",-,"Chittenden 3-9",4,0,1,0,5
"S. Hero",,,0,1,1,0,2
Springfield,-,"Windsor 1-1",0,0,0,0,0
Springfield,-,"Windsor 1-2",29,13,1,0,43
"St. Albans City",,,6,1,0,0,7
"St. Albans Town",,,3,3,0,0,6
"St. Johnsbury",,,4,6,0,0,10
Stannard,,,0,1,0,0,1
Starksboro,,,0,3,0,0,3
Stockbridge,,,2,0,0,0,2
Stowe,,,2,0,1,0,3
Strafford,,,5,3,0,0,8
Stratton,,,1,0,0,0,1
Sudbury,,,1,0,0,0,1
Sunderland,,,1,0,0,0,1
Sutton,,,1,0,0,0,1
Swanton,,,4,2,2,0,8
Thetford,,,7,5,0,0,12
Topsham,,,1,4,0,0,5
Townshend,,,0,2,0,0,2
Tunbridge,,,1,2,0,0,3
Underhill,,,11,2,2,0,15
Vernon,,,0,1,0,0,1
Vershire,,,0,1,0,0,1
Waitsfield,,,8,1,1,0,10
Walden,,,3,2,0,0,5
Wallingford,,,2,0,0,0,2
Waltham,,,2,0,0,0,2
Wardsboro,,,1,0,0,0,1
Warren,,,7,1,0,0,8
