City/Town,Ward,Pct,"Donny Osman",Write-Ins,Blanks,"Total Votes Cast"
,,,
Calais,,,118,9,156,283
Marshfield,,,75,1,18,94
Plainfield,,,88,2,22,112
TOTALS,,,281,12,196,489
