City/Town,Ward,Pct,"Mark Larson",Write-Ins,Blanks,"Total Votes Cast"
,,,
Burlington,-,"Barnes Ward 3",9,1,5,15
Burlington,-,"Lymanhunt Ward 7",98,0,29,127
Burlington,-,"St. Marks Ward 4",51,0,22,73
Burlington,-,"Wheeler Ward 2",11,0,8,19
TOTALS,,,169,1,64,234
