City/Town,Ward,Pct,"Michael Fisher","Dave Sharpe",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bristol,,,110,117,5,72,304
Lincoln,,,99,69,1,67,236
Monkton,,,67,63,5,39,174
Starksboro,,,68,55,0,43,166
TOTALS,,,344,304,11,221,880
