City/Town,Ward,Pct,"Richard A. Westman",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,39,1,4,44
Cambridge,,,152,4,18,174
Waterville,,,68,2,13,83
TOTALS,,,259,7,35,301
