City/Town,Ward,Pct,"Mitzi Johnson","Ira Trombley",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,81,135,36,166,418
"Grand Isle",,,174,162,30,300,666
"Isle La Motte",,,64,78,22,146,310
Milton,,,7,6,1,1,15
"N. Hero",,,37,42,27,70,176
"S. Hero",,,231,120,35,266,652
TOTALS,,,594,543,151,949,"2,237"
