City/Town,Ward,Pct,"Perry D. Waite",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Middletown Springs",,,34,1,9,44
Pawlet,,,43,1,8,52
Wells,,,16,0,0,16
TOTALS,,,93,2,17,112
