City/Town,Ward,Pct,"Loren T. Shaw","Nancy J. Sheltra",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Brownington,,,24,21,5,15,65
Charleston,,,29,28,2,3,62
Derby,,,167,142,11,78,398
Holland,,,22,22,1,11,56
Morgan,,,39,39,7,19,104
TOTALS,,,281,252,26,126,685
