City/Town,Ward,Pct,"Duncan Kilmartin","John K. Hall","William Fyfe",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Coventry,,,30,24,15,3,11,83
Irasburg,,,60,56,14,1,17,148
"Newport City",,,226,209,75,10,78,598
"Newport Town",,,51,42,25,11,13,142
TOTALS,,,367,331,129,25,119,971
