City/Town,Ward,Pct,"Michael Reese",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnard,,,33,0,16,49
Hartford,,,104,1,75,180
Pomfret,,,68,0,17,85
TOTALS,,,205,1,108,314
