City/Town,Ward,Pct,"Anne B. Donahue","Domenic Falzarano","David Ellis",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Moretown,,,46,35,28,0,32,141
Northfield,,,142,141,33,4,106,426
Roxbury,,,24,23,10,1,18,76
TOTALS,,,212,199,71,5,156,643
