City/Town,Ward,Pct,"Susan Bartlett",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,8,0,1,9
Cambridge,,,72,4,15,91
Elmore,,,43,5,5,53
"Hyde Park",,,139,9,11,159
Jay,,,0,7,13,20
Johnson,,,115,3,10,128
Morristown,,,201,22,27,250
Stowe,,,87,9,38,134
Waterville,,,15,1,0,16
TOTALS,,,680,60,120,860
