City/Town,Ward,Pct,"George M. Kuusela",Write-Ins,Blanks,"Total Votes Cast"
,,,
Athens,,,23,1,21,45
Brookline,,,30,5,40,75
Grafton,,,26,1,27,54
Rockingham,,,94,25,95,214
Westminster,,,10,1,11,22
Windham,,,17,1,18,36
TOTALS,,,200,34,212,446
