City/Town,Ward,Pct,"Bob Rusten",Write-Ins,Blanks,"Total Votes Cast"
,,,
Halifax,,,41,3,6,50
Whitingham,,,41,0,3,44
Wilmington,,,77,4,8,89
TOTALS,,,159,7,17,183
