City/Town,Ward,Pct,"Neal Danaher",Write-Ins,Blanks,"Total Votes Cast"
,,,
Colchester,-,"Chittenden 7-1",94,0,14,108
Colchester,-,"Chittenden 7-2",115,1,11,127
"Grand Isle",,,103,24,32,159
"Isle La Motte",,,12,0,11,23
"N. Hero",,,57,19,17,93
"S. Hero",,,102,32,20,154
TOTALS,,,483,76,105,664
