City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Morristown,,,-,15,21,36
Woodbury,,,-,5,15,20
Worcester,,,-,0,14,14
TOTALS,,,-,20,50,70
