City/Town,Ward,Pct,"G. Blake Keller",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnard,,,35,1,8,44
Hartford,,,73,0,53,126
Pomfret,,,29,3,14,46
TOTALS,,,137,4,75,216
