City/Town,Ward,Pct,"Connie T. Houston","Gregory Clark","Jacob Spahn",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Addison,,,109,58,96,0,37,300
Ferrisburgh,,,212,108,125,3,69,517
Panton,,,55,45,44,0,12,156
Vergennes,,,154,156,101,1,58,470
Waltham,,,41,41,26,1,19,128
TOTALS,,,571,408,392,5,195,"1,571"
