City/Town,Ward,Pct,"Michael J. Marcotte","Duncan Kilmartin","Tim Delabruere","Paul L. Monette",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Independent,Independent
Coventry,,,326,192,177,143,2,145,985
Irasburg,,,342,194,171,159,1,201,"1,068"
"Newport City",,,839,693,562,619,1,445,"3,159"
"Newport Town",,,406,297,241,215,2,231,"1,392"
Troy,,,63,65,62,50,0,59,299
TOTALS,,,"1,976","1,441","1,213","1,186",6,"1,081","6,903"
