City/Town,Ward,Pct,"Leigh J. Dakin",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Andover,,,1,0,0,1
Baltimore,,,94,2,20,116
Chester,,,"1,253",35,211,"1,499"
Springfield,,,105,0,26,131
TOTALS,,,"1,453",37,257,"1,747"
