City/Town,Ward,Pct,"Mitzi Johnson","Robert C. Krebs","Jason Lee","Patrick Dupont",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Alburgh,,,491,341,293,350,0,0,"1,475"
"Grand Isle",,,656,523,447,389,0,0,"2,015"
"Isle La Motte",,,149,100,95,106,0,0,450
Milton,,,293,242,306,254,0,0,"1,095"
"N. Hero",,,270,238,234,243,0,0,985
"S. Hero",,,633,648,383,246,0,0,"1,910"
TOTALS,,,"2,492","2,092","1,758","1,588",0,0,"7,930"
