City/Town,Ward,Pct,"Clement Bissonnette","George C. Cross",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Burlington,,,46,44,0,0,90
Winooski,,,"1,872","1,763",0,0,"3,635"
TOTALS,,,"1,918","1,807",0,0,"3,725"
