City/Town,Ward,Pct,"Kathleen C. Keenan","Mike McCarthy","Casey J. Toof","Stephen A. Trahan",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
"St. Albans City",,,"1,280","1,125",999,734,0,0,"4,138"
"St. Albans Town",,,382,294,400,396,0,0,"1,472"
TOTALS,,,"1,662","1,419","1,399","1,130",0,0,"5,610"
