City/Town,Ward,Pct,"Carolyn W. Partridge","Matthew A. Trieber",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Athens,,,104,99,0,0,203
Brookline,,,226,148,0,0,374
Grafton,,,259,231,0,0,490
Rockingham,,,"1,502","1,499",0,0,"3,001"
Westminster,,,61,59,0,0,120
Windham,,,179,146,0,0,325
TOTALS,,,"2,331","2,182",0,0,"4,513"
