City/Town,Ward,Pct,"Richard Lawrence","Martha Feltus","Celeste Marie Girrell",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic
Burke,,,453,411,312,0,0,"1,176"
Lyndon,,,"1,365","1,331",672,0,0,"3,368"
Sutton,,,274,207,202,0,0,683
TOTALS,,,"2,092","1,949","1,186",0,0,"5,227"
