City/Town,Ward,Pct,"Dave Sharpe","Michael Fisher",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Bristol,,,"1,332","1,242",0,0,"2,574"
Lincoln,,,567,613,0,0,"1,180"
Monkton,,,780,761,0,0,"1,541"
Starksboro,,,611,608,0,0,"1,219"
TOTALS,,,"3,290","3,224",0,0,"6,514"
