City/Town,Ward,Pct,"James C. Condos","Mary Alice Herbert",Write-Ins,Blanks,"Total Votes Cast"
,,,Unknown,"Liberty Union"
Addison,,,567,81,0,0,648
Albany,,,354,60,0,0,414
Alburgh,,,696,125,0,0,821
Andover,,,1,0,0,0,1
Arlington,,,916,181,0,0,"1,097"
Athens,,,85,44,0,0,129
Bakersfield,,,464,63,0,0,527
Baltimore,,,83,23,0,0,106
Barnard,,,422,46,0,0,468
Barnet,,,746,87,0,0,833
"Barre City",,,"2,412",397,0,0,"2,809"
"Barre Town",,,"3,198",358,0,0,"3,556"
Barton,,,834,131,0,0,965
Belvidere,,,98,19,0,0,117
Bennington,-,"Bennington 2-1","2,407",456,0,0,"2,863"
Bennington,-,"Bennington 2-2","2,073",453,0,0,"2,526"
Benson,,,329,85,0,0,414
Berkshire,,,457,54,0,0,511
Berlin,,,989,122,0,0,"1,111"
Bethel,,,733,138,0,0,871
Bloomfield,,,61,19,0,0,80
Bolton,,,473,63,0,0,536
Bradford,,,885,170,0,0,"1,055"
Braintree,,,407,73,0,0,480
Brandon,,,"1,344",228,0,0,"1,572"
Brattleboro,-,"Windham 2-1","1,370",387,0,0,"1,757"
Brattleboro,-,"Windham 2-2","1,205",382,0,0,"1,587"
Brattleboro,-,"Windham 2-3","1,220",356,0,0,"1,576"
Bridgewater,,,339,78,0,0,417
Bridport,,,465,77,0,0,542
Brighton,,,364,111,0,0,475
Bristol,,,"1,402",202,0,0,"1,604"
Brookfield,,,511,88,0,0,599
Brookline,,,172,43,0,0,215
Brownington,,,279,56,0,0,335
Brunswick,,,41,6,0,0,47
Burke,,,575,96,0,0,671
Burlington,-,"Chittenden 6-1","3,401",298,0,0,"3,699"
Burlington,-,"Chittenden 6-2","1,632",153,0,0,"1,785"
Burlington,-,"Chittenden 6-3","2,351",370,0,0,"2,721"
Burlington,-,"Chittenden 6-4","1,800",178,0,0,"1,978"
Burlington,-,"Chittenden 6-5","3,518",289,0,0,"3,807"
Burlington,-,"Chittenden 6-6",763,61,0,0,824
Burlington,-,"Chittenden 6-7",52,8,0,0,60
Cabot,,,574,65,0,0,639
Calais,,,822,72,0,0,894
Cambridge,,,"1,488",211,0,0,"1,699"
Canaan,,,275,61,0,0,336
Castleton,,,"1,213",225,0,0,"1,438"
Cavendish,,,443,122,0,0,565
Charleston,,,322,62,0,0,384
Charlotte,,,"1,917",145,0,0,"2,062"
Chelsea,,,468,74,0,0,542
Chester,,,"1,025",256,0,0,"1,281"
Chittenden,,,540,78,0,0,618
Clarendon,,,904,159,0,0,"1,063"
Colchester,-,"Chittenden 9-1","2,555",228,0,0,"2,783"
Colchester,-,"Chittenden 9-2","3,292",321,0,0,"3,613"
Concord,,,351,85,0,0,436
Corinth,,,469,89,0,0,558
Cornwall,,,558,46,0,0,604
Coventry,,,360,78,0,0,438
Craftsbury,,,451,64,0,0,515
Danby,,,439,98,0,0,537
Danville,,,912,119,0,0,"1,031"
Derby,,,"1,595",267,0,0,"1,862"
Dorset,,,862,154,0,0,"1,016"
Dover,,,488,139,0,0,627
Dummerston,,,822,208,0,0,"1,030"
Duxbury,,,540,76,0,0,616
"E. Haven",,,83,26,0,0,109
"E. Montpelier",,,"1,288",123,0,0,"1,411"
Eden,,,352,65,0,0,417
Elmore,,,391,56,0,0,447
Enosburgh,,,924,149,0,0,"1,073"
Essex,-,"Chittenden 8-1","3,427",272,0,0,"3,699"
Essex,-,"Chittenden 8-2","3,805",358,0,0,"4,163"
Essex,-,"Chittenden 8-3","1,093",106,0,0,"1,199"
"Fair Haven",,,822,158,0,0,980
Fairfax,,,"1,695",202,0,0,"1,897"
Fairfield,,,706,90,0,0,796
Fairlee,,,412,52,0,0,464
Fayston,,,572,67,0,0,639
Ferrisburgh,,,"1,187",125,0,0,"1,312"
Fletcher,,,500,68,0,0,568
Franklin,,,432,68,0,0,500
Georgia,,,"1,683",239,0,0,"1,922"
Glover,,,426,81,0,0,507
Goshen,,,95,26,0,0,121
Grafton,,,240,53,0,0,293
Granby,,,28,13,0,0,41
"Grand Isle",,,933,139,0,0,"1,072"
Granville,,,106,16,0,0,122
Greensboro,,,340,31,0,0,371
Groton,,,303,78,0,0,381
Guildhall,,,92,25,0,0,117
Guilford,,,782,216,0,0,998
Halifax,,,271,71,0,0,342
Hancock,,,116,24,0,0,140
Hardwick,,,"1,047",154,0,0,"1,201"
Hartford,-,"Windsor 4-1",802,154,0,0,956
Hartford,-,"Windsor 4-2","2,761",436,0,0,"3,197"
Hartland,,,"1,378",208,0,0,"1,586"
Highgate,,,"1,013",160,0,0,"1,173"
Hinesburg,-,"Chittenden 4-1",15,1,0,0,16
Hinesburg,-,"Chittenden 4-2","1,931",208,0,0,"2,139"
Holland,,,208,51,0,0,259
Hubbardton,,,263,51,0,0,314
Huntington,,,921,107,0,0,"1,028"
"Hyde Park",,,"1,121",148,0,0,"1,269"
Ira,,,174,22,0,0,196
Irasburg,,,402,70,0,0,472
"Isle La Motte",,,204,44,0,0,248
Jamaica,,,304,81,0,0,385
Jay,,,132,25,0,0,157
Jericho,,,"2,454",206,0,0,"2,660"
Johnson,,,966,146,0,0,"1,112"
Killington,,,459,74,0,0,533
Kirby,,,206,18,0,0,224
Landgrove,,,81,8,0,0,89
Leicester,,,365,54,0,0,419
Lemington,,,38,7,0,0,45
Lincoln,,,624,74,0,0,698
Londonderry,,,618,124,0,0,742
Lowell,,,277,61,0,0,338
Ludlow,,,719,186,0,0,905
Lunenburg,,,359,110,0,0,469
Lyndon,,,"1,573",253,0,0,"1,826"
Maidstone,,,72,14,0,0,86
Manchester,,,"1,611",274,0,0,"1,885"
Marlboro,,,382,93,0,0,475
Marshfield,,,635,95,0,0,730
Mendon,,,442,80,0,0,522
Middlebury,,,"2,714",260,0,0,"2,974"
Middlesex,,,801,90,0,0,891
"Middletown Springs",,,319,60,0,0,379
Milton,-,"Chittenden 10","3,050",435,0,0,"3,485"
Milton,-,"Grand Isle-Chittenden",507,67,0,0,574
Monkton,,,832,93,0,0,925
Montgomery,,,450,70,0,0,520
Montpelier,,,"3,763",323,0,0,"4,086"
Moretown,,,772,79,0,0,851
Morgan,,,261,42,0,0,303
Morristown,,,"1,905",283,0,0,"2,188"
"Mount Holly",,,509,117,0,0,626
"Mount Tabor",,,57,12,0,0,69
"New Haven",,,794,86,0,0,880
Newark,,,197,49,0,0,246
Newbury,,,724,144,0,0,868
Newfane,,,674,167,0,0,841
"Newport City",,,"1,188",196,0,0,"1,384"
"Newport Town",,,489,106,0,0,595
"N. Hero",,,451,54,0,0,505
Northfield,,,"1,625",222,0,0,"1,847"
Norton,,,59,20,0,0,79
Norwich,,,"1,667",129,0,0,"1,796"
Orange,,,376,87,0,0,463
Orwell,,,446,74,0,0,520
Panton,,,263,39,0,0,302
Pawlet,,,524,133,0,0,657
Peacham,,,402,41,0,0,443
Peru,,,155,31,0,0,186
Pittsfield,,,210,29,0,0,239
Pittsford,,,"1,093",176,0,0,"1,269"
Plainfield,,,511,82,0,0,593
Plymouth,,,233,44,0,0,277
Pomfret,,,478,60,0,0,538
Poultney,,,967,194,0,0,"1,161"
Pownal,,,"1,095",268,0,0,"1,363"
Proctor,,,641,72,0,0,713
Putney,,,787,356,0,0,"1,143"
Randolph,,,"1,621",248,0,0,"1,869"
Reading,,,263,49,0,0,312
Readsboro,,,233,59,0,0,292
Richford,,,591,106,0,0,697
Richmond,,,"1,976",174,0,0,"2,150"
Ripton,,,257,33,0,0,290
Rochester,,,488,79,0,0,567
Rockingham,,,"1,380",429,0,0,"1,809"
Roxbury,,,244,46,0,0,290
Royalton,,,937,145,0,0,"1,082"
Rupert,,,254,64,0,0,318
"Rutland City",-,"Rutland 5-1","1,551",206,0,0,"1,757"
"Rutland City",-,"Rutland 5-2","1,362",212,0,0,"1,574"
"Rutland City",-,"Rutland 5-3",876,178,0,0,"1,054"
"Rutland City",-,"Rutland 5-4","1,227",190,0,0,"1,417"
"Rutland Town",,,"1,704",224,0,0,"1,928"
Ryegate,,,406,70,0,0,476
Salisbury,,,393,70,0,0,463
Sandgate,,,142,29,0,0,171
Searsburg,,,23,19,0,0,42
Shaftsbury,,,"1,341",246,0,0,"1,587"
Sharon,,,538,83,0,0,621
Sheffield,,,210,30,0,0,240
Shelburne,-,"Chittenden 5-1","1,956",162,0,0,"2,118"
Shelburne,-,"Chittenden 5-2","1,677",127,0,0,"1,804"
Sheldon,,,616,88,0,0,704
Shoreham,,,462,58,0,0,520
Shrewsbury,,,477,81,1,89,648
"S. Burlington",-,"Chittenden 7-1","1,873",188,14,328,"2,403"
"S. Burlington",-,"Chittenden 7-2","2,004",216,17,382,"2,619"
"S. Burlington",-,"Chittenden 7-3","1,727",183,8,295,"2,213"
"S. Burlington",-,"Chittenden 7-4","1,709",247,9,289,"2,254"
"S. Hero",,,878,86,3,127,"1,094"
Springfield,-,"Windsor 3-1",97,27,0,7,131
Springfield,-,"Windsor 3-2","2,504",703,11,461,"3,679"
"St. Albans City",,,"1,944",274,0,0,"2,218"
"St. Albans Town",-,"Franklin 3-1",694,78,0,0,772
"St. Albans Town",-,"Franklin 3-2","1,521",200,0,0,"1,721"
"St. George",,,269,26,0,0,295
"St. Johnsbury",,,"2,322",340,0,0,"2,662"
Stamford,,,297,71,5,95,468
Stannard,,,70,12,0,13,95
Starksboro,,,633,94,0,111,838
Stockbridge,,,290,53,1,45,389
Stowe,,,"1,993",244,10,418,"2,665"
Strafford,,,536,64,0,98,698
Stratton,,,95,25,1,22,143
