City/Town,Ward,Pct,"Jeff Wilson","Cynthia Browning",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Arlington,,,771,961,0,0,"1,732"
Manchester,,,"1,716","1,205",0,0,"2,921"
Sandgate,,,116,154,0,0,270
Sunderland,,,228,269,0,0,497
TOTALS,,,"2,831","2,589",0,0,"5,420"
