City/Town,Ward,Pct,"Charles Shaw","Stephen A. Carr","Seth Hopkins",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Republican
Brandon,,,909,"1,158",677,0,0,"2,744"
Pittsford,,,"1,143",658,420,0,0,"2,221"
Sudbury,,,181,170,88,0,0,439
TOTALS,,,"2,233","1,986","1,185",0,0,"5,404"
