City/Town,Ward,Pct,"Lynn D. Batchelor","Loren T. Shaw",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican
Brownington,,,242,264,4,266,776
Charleston,,,287,309,5,273,874
Derby,,,"1,549","1,474",53,"1,206","4,282"
Holland,,,210,201,8,181,600
Morgan,,,260,225,9,190,684
TOTALS,,,"2,548","2,473",79,"2,116","7,216"
