City/Town,Ward,Pct,"Patsy French","Larry Townsend",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Braintree,,,401,378,0,0,779
Brookfield,,,502,451,0,0,953
Granville,,,117,95,0,0,212
Randolph,,,"1,558","1,497",0,0,"3,055"
Roxbury,,,237,202,0,0,439
TOTALS,,,"2,815","2,623",0,0,"5,438"
