City/Town,Ward,Pct,"Bernard C. Juskiewicz","Peter Ingvoldstad","Justin R. Marsh",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Independent
Cambridge,,,687,650,526,0,0,"1,863"
Waterville,,,124,113,94,0,0,331
TOTALS,,,811,763,620,0,0,"2,194"
