City/Town,Ward,Pct,"Margaret Cheney","Jim Masland",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Norwich,,,"1,826","1,547",22,951,"4,346"
Sharon,,,506,464,17,441,"1,428"
Strafford,,,526,508,4,356,"1,394"
Thetford,,,961,"1,162",14,962,"3,099"
TOTALS,,,"3,819","3,681",57,"2,710","10,267"
