City/Town,Ward,Pct,"Ann Manwaring",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Halifax,,,325,0,0,325
Whitingham,,,478,0,0,478
Wilmington,,,890,0,0,890
TOTALS,,,"1,693",0,0,"1,693"
