City/Town,Ward,Pct,"Linda J. Martin","Mark E. Woodward","Lucien G. Gravel",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican
Belvidere,,,50,68,70,0,0,188
"Hyde Park",,,813,661,585,0,0,"2,059"
Johnson,,,621,826,411,0,0,"1,858"
Wolcott,,,489,369,325,0,0,"1,183"
TOTALS,,,"1,973","1,924","1,391",0,0,"5,288"
