City/Town,Ward,Pct,"Mark Higley","Katherine Sims",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Progressive
Eden,,,215,258,2,7,482
Jay,,,80,113,0,8,201
Lowell,,,265,112,0,4,381
Troy,,,210,267,1,17,495
Westfield,,,150,137,0,4,291
TOTALS,,,920,887,3,40,"1,850"
