City/Town,Ward,Pct,"Michael Hebert",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Guilford,,,700,65,375,"1,140"
Vernon,,,928,4,141,"1,073"
TOTALS,,,"1,628",69,516,"2,213"
