City/Town,Ward,Pct,"Shap Smith","Peter Peltz","Mickey Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican
Elmore,,,372,310,190,0,0,872
Morristown,,,"1,650","1,069",871,0,0,"3,590"
Woodbury,,,287,353,156,0,0,796
Worcester,,,390,395,130,0,0,915
TOTALS,,,"2,699","2,127","1,347",0,0,"6,173"
