City/Town,Ward,Pct,"William Canfield","Robert Helm",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican
Castleton,,,"1,267","1,186",55,948,"3,456"
"Fair Haven",,,970,816,0,429,"2,215"
Hubbardton,,,240,245,8,234,727
"W. Haven",,,101,97,1,55,254
TOTALS,,,"2,578","2,344",64,"1,666","6,652"
