City/Town,Ward,Pct,"John W. Malcolm","Estella Leach",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Independent
"Middletown Springs",,,282,133,0,0,415
Pawlet,,,379,346,0,0,725
Rupert,,,194,174,0,0,368
Tinmouth,,,129,72,0,0,201
Wells,,,228,274,0,0,502
TOTALS,,,"1,212",999,0,0,"2,211"
