City/Town,Ward,Pct,"Janet Ancel",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Calais,,,826,0,0,826
Marshfield,,,656,0,0,656
Plainfield,,,560,0,0,560
TOTALS,,,"2,042",0,0,"2,042"
