City/Town,Ward,Pct,"William F. Johnson",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Bloomfield,,,78,2,22,102
Brighton,,,447,9,81,537
Canaan,,,362,2,50,414
"E. Haven",,,103,0,27,130
Lemington,,,49,0,4,53
Newark,,,233,6,65,304
Norton,,,81,2,11,94
Westmore,,,158,8,33,199
TOTALS,,,"1,511",29,293,"1,833"
